keyword,lane,owner_page,geo,decision,evidence_tier,priority,tracking_group,reporting_goal,notes
criminal defense lawyer delaware county ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware County OH,Track now,Owner fit + close variant,P1,Core criminal defense,Rank and local-pack visibility,Long-form county variant useful for organic tracking.
misdemeanor lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Source-code route/content fit + owner fit,P1,Core criminal defense,Rank and local-pack visibility,Service subtopic fits the live criminal-defense owner.
felony lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Source-code route/content fit + owner fit,P1,Core criminal defense,Rank and local-pack visibility,Felony modifier keeps a high-value criminal-defense term in the tracker.
criminal attorney delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Core criminal defense,Rank and local-pack visibility,Common shorthand variant for the primary criminal-defense lane.
criminal defense lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Core criminal defense,Rank and local-pack visibility,Lawyer wording mirrors the attorney phrasing without changing owner page.
delaware county criminal lawyer,Criminal defense,/criminal-defense-delaware-oh,Delaware County OH,Track now,Owner fit + local court relevance,P1,Core criminal defense,Rank and local-pack visibility,County shorthand variant for criminal defense searches.
drug crime lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + commercial lane,P1,Drug crimes,Rank and local-pack visibility,Live owner page exists and drug charges are part of the criminal-defense campaign.
drug possession attorney delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + official-law support,P1,Drug crimes,Rank and local-pack visibility,Specific possession variant tied to Ohio drug-possession support content.
drug possession lawyer delaware county ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware County OH,Track now,Owner fit + local court relevance,P1,Drug crimes,Rank and local-pack visibility,County variant for the live drug-crime owner page.
drug trafficking lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + source-code route/content fit,P2,Drug crimes,Rank and local-pack visibility,Commercial subtopic aligned with the drug-crimes page and support topics.
drug charges lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P2,Drug crimes,Rank and local-pack visibility,Broad drug-charge wording supports quick ROI within the criminal-defense tracker.
drug defense attorney delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P2,Drug crimes,Rank and local-pack visibility,Attorney wording expands the drug-crime commercial set.
drug possession defense lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + official-law support,P2,Drug crimes,Rank and local-pack visibility,Possession defense wording aligns with the live owner and possession support content.
protection order lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + commercial lane,P1,Protection orders,Rank and local-pack visibility,Live commercial owner and CPO support content exist.
civil protection order lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + local court relevance,P1,Protection orders,Rank and local-pack visibility,High-intent CPO local phrase aligned with Delaware County process relevance.
cpo defense attorney ohio,Protection orders,/protection-order-lawyer-delaware-oh,Ohio,Track now,Owner fit + official-law support,P2,Protection orders,Organic support page visibility,Setup materials identify this as a target variant for the protection-order owner.
cpo lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P2,Protection orders,Rank and local-pack visibility,Short CPO local variant for users familiar with the abbreviation.
protection order defense attorney ohio,Protection orders,/protection-order-lawyer-delaware-oh,Ohio,Track now,Owner fit + official-law support,P2,Protection orders,Organic support page visibility,Statewide defense wording supports the protection-order lane.
no contact order lawyer ohio,Protection orders,/protection-order-lawyer-delaware-oh,Ohio,Track now,Source-code route/content fit + close variant,P2,Protection orders,Organic support page visibility,Related no-contact query mapped to protection-order content until a separate owner is justified.
domestic violence lawyer delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + competitor SERP presence,P1,Domestic violence,Rank and local-pack visibility,Live owner page with local commercial domestic-violence intent.
domestic violence defense attorney delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Domestic violence,Rank and local-pack visibility,High-intent defense wording.
domestic violence attorney delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P2,Domestic violence,Rank and local-pack visibility,Attorney shorthand variant for the local domestic-violence owner.
domestic violence defense lawyer delaware county ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,Delaware County OH,Track now,Owner fit + local court relevance,P2,Domestic violence,Rank and local-pack visibility,County variant for the domestic-violence defense lane.
first offense domestic violence ohio,Domestic violence,/domestic-violence-first-offense-ohio-defense,Ohio,Track now,Source-code route/content fit + official-law support,P2,Domestic violence,Organic support page visibility,Dedicated support owner exists for first-offense domestic-violence questions.
ovi test refusal lawyer ohio,OVI test refusal,/ovi-test-refusal-lawyer-ohio,Ohio,Track now,Owner fit + official-law support,P2,OVI support,Organic support page visibility,Support term tied to refusal consequences and ORC-aligned content.
als suspension ohio lawyer,License suspension / ALS,/als-license-suspension-ohio,Ohio,Track now,Owner fit + official-law support,P2,OVI support,Organic support page visibility,Lead-urgent ALS support term for OVI-related license suspension.
license suspension lawyer ohio,License suspension / ALS,/als-license-suspension-ohio,Ohio,Track now,Owner fit + official-law support,P2,OVI support,Organic support page visibility,Close support variant for ALS and OVI license-suspension intent.
field sobriety test refusal ohio,OVI test refusal,/ovi-test-refusal-lawyer-ohio,Ohio,Track now,Owner fit + source-code route/content fit,P2,OVI support,Organic support page visibility,Problem-aware OVI support query aligned with the refusal page.
breath test refusal lawyer ohio,OVI test refusal,/ovi-test-refusal-lawyer-ohio,Ohio,Track now,Owner fit + official-law support,P2,OVI support,Organic support page visibility,Breath-test refusal variant fits the refusal owner page.
motion to suppress ovi ohio,Motion to suppress,/motion-to-suppress-ovi-ohio,Ohio,Track now,Owner fit + source-code route/content fit,P2,OVI support,Organic support page visibility,Problem-aware support query for OVI suppression issues.
first offense ovi ohio,First offense OVI,/first-offense-ovi-ohio,Ohio,Track now,Owner fit + source-code route/content fit,P2,OVI support,Organic support page visibility,Dedicated first-offense OVI support page exists.
felony ovi lawyer ohio,Felony OVI,/felony-ovi-lawyer-ohio,Ohio,Track now,Owner fit + high-value charge modifier,P2,OVI support,Organic support page visibility,High-value OVI support term with dedicated owner page.
high tier ovi ohio,OVI support,/ovi-dui-defense-delaware-oh,Ohio,Track now,Official-law support + source-code route/content fit,P2,OVI support,Organic support page visibility,Law-change support term kept on the OVI pillar unless a dedicated owner is created.
ohio liv's law ovi,OVI support,/ovi-dui-defense-delaware-oh,Ohio,Track now,Official-law support + checkpoint recency/watchlist,P2,OVI support,Content discovery,Fresh Ohio OVI law-change term monitored through the OVI owner.
ohio dui checkpoints,Checkpoints,/resources/dui-checkpoints,Ohio,Track now,Checkpoint recency/watchlist + owner fit,P2,Resource,Organic resource visibility,Track while checkpoint update cadence is maintained.
ohio ovi checkpoints,Checkpoints,/ovi-checkpoints-ohio,Ohio,Track now,Checkpoint recency/watchlist + source-code route/content fit,P2,Resource,Organic resource visibility,Resource owner exists but reporting should watch freshness closely.
