url,priority,expected_owner_role,jan_2026_status,current_status,action_needed,notes
https://mango.law/resources/dui-checkpoints,P1,Checkpoint resource owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid; FAQ 1 valid,No indexing request needed; monitor freshness through May 6 2026,"Production checkpoint scraper was fixed/deployed/triggered; current rows were verified in production before this queue update."
https://mango.law/ovi-checkpoints-ohio,P1,Checkpoint resource owner,Not in original queue,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid; FAQ 1 valid,No indexing request needed; monitor freshness through May 6 2026,"Added because checkpoint terms are in the final 50-keyword set and Cinco de Mayo readiness depends on this page/resource pair."
https://mango.law/glossary,P1,Informational/statute hub,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Inspect later if statute/glossary content becomes a tracked support lane,"Lower priority than not-indexed commercial and OVI support owners."
https://mango.law/locations,P2,Local discovery support,URL unknown; live test available; indexing requested Jan 27 2026,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Recheck URL Inspection after P1 indexing queue is handled,"Task queue P2 local discovery support; not a direct high-intent keyword owner."
https://mango.law/reviews,P2,Trust/conversion support,State changed during audit: URL unknown earlier then indexed as of 10:47 AM; live test available,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Monitor indexing state and avoid assigning keyword ownership,"Trust support page; no current owner-term assignment."
https://mango.law/practice-areas,P2,Practice hub / internal-link support,On Google; live test available to Google,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Recheck only if internal-link or owner-page discovery issues persist,"Support page, not a high-intent owner."
https://mango.law/blog,P2,Blog hub / informational support,On Google; live test available to Google; also listed under Discovered examples pattern,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Use newly drafted posts to strengthen discovery of P1 owner pages,"Blog hub supports the 10-post publishing plan."
https://mango.law/delaware-ohio-ovi-lawyer,P2,Redirected historical OVI URL,On Google in Jan URL Inspection; live test available,Current code redirect confirmed in source; URL Inspection not rerun,Do not assign keyword ownership or request indexing for this redirected URL,"Current owner is /ovi-dui-defense-delaware-oh; this row is retained only for redirect/canonical hygiene."
https://mango.law/blog/motion-practice-criminal-defense,P2,Criminal process informational support,Crawled - currently not indexed example in Pages report; URL Inspection table reported On Google/live-test available,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Recheck if using as support for criminal-defense internal links,"Internal links in publishing plan already use the correct slug."
https://mango.law/blog/ohio-dui-lookback-period,P2,OVI process informational support,URL unknown; live test available to Google,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Strengthen internal linking and inspect before any lower-priority request-indexing run,"Included from Jan audit URL Inspection table and examples."
https://mango.law/privacy,P2,Legal policy / crawl support,URL unknown; live test available to Google,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Confirm footer/internal links and self-canonical later,"Lower priority than commercial owners and support pages."
https://mango.law/terms,P2,Legal policy / crawl support,URL unknown; live test available to Google,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Confirm footer/internal links and self-canonical later,"Lower priority than commercial owners and support pages."
https://api.mango.law/,P2,Domain-property crawl-noise item,Blocked due to access forbidden 403 in domain property,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Decide whether API host should be discoverable and reduce crawl waste if not,"Domain property only; not a mango.law page owner."
http://mango.law/,P2,Redirect hygiene item,Page with redirect in domain property; redirects to HTTPS,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Keep HTTP to HTTPS redirect and ensure internal links/sitemap use HTTPS,"Domain property only; normal redirect but useful canonical hygiene check."
