keyword,tracking_group,owner_page,priority,planner_account,date_captured,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,location_target,language,source_status,next_action,notes
criminal defense attorney delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,0%,0%,High,73,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
criminal lawyer delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware ohio criminal defense attorney,Core criminal defense,/criminal-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware county criminal defense attorney,Core criminal defense,/criminal-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,500,900%,0%,Medium,65,9.75,35.00,United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
criminal defense lawyer delaware county ohio,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
misdemeanor lawyer delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
felony lawyer delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
criminal attorney delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
criminal defense lawyer delaware ohio,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware county criminal lawyer,Core criminal defense,/criminal-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,500,900%,0%,Medium,65,9.75,35.00,United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
drug crime lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug possession attorney delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug possession lawyer delaware county ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug trafficking lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug charges lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug defense attorney delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
drug possession defense lawyer delaware ohio,Drug crimes,/drug-crime-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
protection order lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
civil protection order lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
cpo defense attorney ohio,Protection orders,/protection-order-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
cpo lawyer delaware ohio,Protection orders,/protection-order-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
protection order defense attorney ohio,Protection orders,/protection-order-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
no contact order lawyer ohio,Protection orders,/protection-order-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
domestic violence lawyer delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,Infinity,Infinity,Medium,57,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint; Infinity change means Google showed new/no prior-period comparable volume"
domestic violence defense attorney delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
domestic violence attorney delaware ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
domestic violence defense lawyer delaware county ohio,Domestic violence,/domestic-violence-lawyer-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
first offense domestic violence ohio,Domestic violence,/domestic-violence-first-offense-ohio-defense,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,0%,0%,Low,0,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
ovi test refusal lawyer ohio,OVI support,/ovi-test-refusal-lawyer-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
als suspension ohio lawyer,OVI support,/als-license-suspension-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
license suspension lawyer ohio,OVI support,/als-license-suspension-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
field sobriety test refusal ohio,OVI support,/ovi-test-refusal-lawyer-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
breath test refusal lawyer ohio,OVI support,/ovi-test-refusal-lawyer-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
motion to suppress ovi ohio,OVI support,/motion-to-suppress-ovi-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,0%,0%,Low,3,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
first offense ovi ohio,OVI support,/first-offense-ovi-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,500,0%,0%,Medium,34,1.44,7.20,United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
felony ovi lawyer ohio,OVI support,/felony-ovi-lawyer-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
high tier ovi ohio,OVI support,/ovi-dui-defense-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,0%,0%,Low,17,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
ohio liv's law ovi,OVI support,/ovi-dui-defense-delaware-oh,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
ohio dui checkpoints,Resource,/resources/dui-checkpoints,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,500,0%,0%,Low,0,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
ohio ovi checkpoints,Resource,/ovi-checkpoints-ohio,P2,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,500,900%,0%,Low,0,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
