keyword,currency,segmentation,avg_monthly_searches_exported,ui_range_bucket,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,ad_impression_share,organic_average_position,organic_impression_share,in_account,date_range,planner_account,plan_id,plan_name,captured_at
delaware county criminal defense attorney,USD,,500,100-1K,900%,0%,Medium,65,9.75,35.00,"","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware county criminal lawyer,USD,,500,100-1K,900%,0%,Medium,65,9.75,35.00,"","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware county dui lawyer,USD,,50,10-100,0%,-90%,Medium,45,10.51,46.15,"","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware county ovi lawyer,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware ohio criminal defense attorney,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware ohio dui attorney,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
delaware ohio ovi lawyer,USD,,50,10-100,Infinity,Infinity,High,100,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
domestic violence attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
domestic violence defense attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
domestic violence defense lawyer delaware county ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
domestic violence lawyer delaware ohio,USD,,50,10-100,Infinity,Infinity,Medium,57,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug charges lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug crime lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug defense attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug possession attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug possession defense lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug possession lawyer delaware county ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
drug trafficking lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
dui attorney delaware county ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
dui lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
felony lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
felony ovi lawyer ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
field sobriety test refusal ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
first offense domestic violence ohio,USD,,50,10-100,0%,0%,Low,0,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
first offense ovi lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
first offense ovi ohio,USD,,500,100-1K,0%,0%,Medium,34,1.44,7.20,"","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
high tier ovi ohio,USD,,50,10-100,0%,0%,Low,17,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
license suspension lawyer ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
misdemeanor lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
motion to suppress ovi ohio,USD,,50,10-100,0%,0%,Low,3,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
no contact order lawyer ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ohio dui checkpoints,USD,,500,100-1K,0%,0%,Low,0,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ohio liv's law ovi,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ohio ovi checkpoints,USD,,500,100-1K,900%,0%,Low,0,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ovi attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ovi defense lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ovi lawyer near delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
ovi test refusal lawyer ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
protection order defense attorney ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
protection order lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
